location,date,vaccine,total_vaccinations,daily_vaccinations,iso3code
Slovakia,2021-09-24,Oxford/AstraZeneca,842630,34,SVK
Slovakia,2021-09-24,Pfizer/BioNTech,3173793,25873,SVK
Slovenia,2021-09-24,Johnson&Johnson,133118,7789,SVN
Slovenia,2021-09-24,Moderna,189421,1641,SVN
Slovenia,2021-09-24,Oxford/AstraZeneca,323296,223,SVN
Slovenia,2021-09-24,Pfizer/BioNTech,1370413,37256,SVN
South Korea,2021-09-24,Johnson&Johnson,1441854,4568,KOR
South Korea,2021-09-24,Moderna,6170285,399152,KOR
South Korea,2021-09-24,Oxford/AstraZeneca,19788881,3302,KOR
South Korea,2021-09-24,Pfizer/BioNTech,32150002,622117,KOR
Spain,2021-09-24,Johnson&Johnson,1966481,4457,ESP
Spain,2021-09-24,Moderna,8843119,123198,ESP
Spain,2021-09-24,Oxford/AstraZeneca,9786507,4765,ESP
Spain,2021-09-24,Pfizer/BioNTech,49582800,529631,ESP
Sweden,2021-09-24,Moderna,1739947,49302,SWE
Sweden,2021-09-24,Pfizer/BioNTech,10329029,101135,SWE
Switzerland,2021-09-24,Moderna,6795806,24607,CHE
Switzerland,2021-09-24,Pfizer/BioNTech,3532663,13146,CHE
Ukraine,2021-09-24,Johnson&Johnson,20680,0,UKR
Ukraine,2021-09-24,Moderna,2133932,0,UKR
Ukraine,2021-09-24,Oxford/AstraZeneca,2117460,26913,UKR
Ukraine,2021-09-24,Pfizer/BioNTech,4499498,84767,UKR
Ukraine,2021-09-24,Sinovac,3367419,47324,UKR
United States,2021-09-24,Johnson&Johnson,14900349,23770,USA
United States,2021-09-24,Moderna,150619059,203405,USA
United States,2021-09-24,Pfizer/BioNTech,222663971,515764,USA
Uruguay,2021-09-24,Oxford/AstraZeneca,90903,5,URY
Uruguay,2021-09-24,Pfizer/BioNTech,1933623,2863,URY
Uruguay,2021-09-24,Sinovac,3247444,32,URY
Argentina,2021-09-25,CanSino,46578,2519,ARG
Argentina,2021-09-25,Moderna,2940212,7600,ARG
Argentina,2021-09-25,Oxford/AstraZeneca,17229605,23845,ARG
Argentina,2021-09-25,Pfizer/BioNTech,135366,6500,ARG
Argentina,2021-09-25,Sinopharm/Beijing,16237317,67505,ARG
Argentina,2021-09-25,Sputnik V,15236572,20313,ARG
Canada,2021-09-25,Moderna,13642455,164896,CAN
Canada,2021-09-25,Oxford/AstraZeneca,2795046,-4967,CAN
Canada,2021-09-25,Pfizer/BioNTech,39190178,562854,CAN
Chile,2021-09-25,Oxford/AstraZeneca,504944,5,CHL
Chile,2021-09-25,Pfizer/BioNTech,7295245,131,CHL
Chile,2021-09-25,Sinovac,20191436,917,CHL
Czechia,2021-09-25,Johnson&Johnson,233538,533,CZE
Czechia,2021-09-25,Moderna,923007,98,CZE
Czechia,2021-09-25,Oxford/AstraZeneca,886287,4,CZE
Czechia,2021-09-25,Pfizer/BioNTech,9775807,2425,CZE
Ecuador,2021-09-25,CanSino,358205,651,ECU
Ecuador,2021-09-25,Oxford/AstraZeneca,2192833,1018,ECU
Ecuador,2021-09-25,Pfizer/BioNTech,5910909,2500,ECU
Ecuador,2021-09-25,Sinovac,12154209,802,ECU
France,2021-09-25,Johnson&Johnson,1070485,291,FRA
France,2021-09-25,Moderna,10330341,30003,FRA
France,2021-09-25,Oxford/AstraZeneca,7827668,176,FRA
France,2021-09-25,Pfizer/BioNTech,75767851,136671,FRA
Germany,2021-09-25,Johnson&Johnson,3252892,8574,DEU
Germany,2021-09-25,Moderna,9642455,6350,DEU
Germany,2021-09-25,Oxford/AstraZeneca,12764707,88,DEU
Germany,2021-09-25,Pfizer/BioNTech,83231519,84614,DEU
Hong Kong,2021-09-25,Pfizer/BioNTech,5448184,28653,HKG
Hong Kong,2021-09-25,Sinovac,3102553,10448,HKG
Italy,2021-09-25,Johnson&Johnson,1480496,1071,ITA
Italy,2021-09-25,Moderna,10560562,34875,ITA
Italy,2021-09-25,Oxford/AstraZeneca,12155490,521,ITA
Italy,2021-09-25,Pfizer/BioNTech,59853486,168816,ITA
Japan,2021-09-25,Moderna,26832692,252935,JPN
Japan,2021-09-25,Oxford/AstraZeneca,52230,1501,JPN
Japan,2021-09-25,Pfizer/BioNTech,137761852,1265368,JPN
Latvia,2021-09-25,Johnson&Johnson,123816,3030,LVA
Latvia,2021-09-25,Moderna,244602,248,LVA
Latvia,2021-09-25,Oxford/AstraZeneca,261085,3,LVA
Latvia,2021-09-25,Pfizer/BioNTech,976879,2747,LVA
Peru,2021-09-25,Oxford/AstraZeneca,1082071,25110,PER
Peru,2021-09-25,Pfizer/BioNTech,15294042,118132,PER
Peru,2021-09-25,Sinopharm/Beijing,10178445,270027,PER
Romania,2021-09-25,Johnson&Johnson,731749,6921,ROU
Romania,2021-09-25,Moderna,734236,284,ROU
Romania,2021-09-25,Oxford/AstraZeneca,847734,65,ROU
Romania,2021-09-25,Pfizer/BioNTech,7725142,9464,ROU
South Korea,2021-09-25,Johnson&Johnson,1442770,916,KOR
South Korea,2021-09-25,Moderna,6383330,213045,KOR
South Korea,2021-09-25,Oxford/AstraZeneca,19789635,754,KOR
South Korea,2021-09-25,Pfizer/BioNTech,32464425,314423,KOR
Switzerland,2021-09-25,Moderna,6808654,12848,CHE
Switzerland,2021-09-25,Pfizer/BioNTech,3542755,10092,CHE
Ukraine,2021-09-25,Johnson&Johnson,20680,0,UKR
Ukraine,2021-09-25,Moderna,2133932,0,UKR
Ukraine,2021-09-25,Oxford/AstraZeneca,2128467,11007,UKR
Ukraine,2021-09-25,Pfizer/BioNTech,4536312,36814,UKR
Ukraine,2021-09-25,Sinovac,3383819,16400,UKR
United States,2021-09-25,Johnson&Johnson,14925576,25227,USA
United States,2021-09-25,Moderna,150832560,213501,USA
United States,2021-09-25,Pfizer/BioNTech,223228392,564421,USA
Uruguay,2021-09-25,Oxford/AstraZeneca,90907,4,URY
Uruguay,2021-09-25,Pfizer/BioNTech,1933658,35,URY
Argentina,2021-09-26,CanSino,47197,619,ARG
Argentina,2021-09-26,Moderna,2945121,4909,ARG
Argentina,2021-09-26,Oxford/AstraZeneca,17270016,40411,ARG
Argentina,2021-09-26,Pfizer/BioNTech,136693,1327,ARG
Argentina,2021-09-26,Sinopharm/Beijing,16271726,34409,ARG
Argentina,2021-09-26,Sputnik V,15242944,6372,ARG
Chile,2021-09-26,Oxford/AstraZeneca,504945,1,CHL
Chile,2021-09-26,Pfizer/BioNTech,7295253,8,CHL
Chile,2021-09-26,Sinovac,20191654,218,CHL
Czechia,2021-09-26,Johnson&Johnson,233838,300,CZE
Czechia,2021-09-26,Moderna,923045,38,CZE
Czechia,2021-09-26,Oxford/AstraZeneca,886290,3,CZE
Czechia,2021-09-26,Pfizer/BioNTech,9777634,1827,CZE
Czechia,2021-09-26,Sinovac,132,1,CZE
Ecuador,2021-09-26,CanSino,358341,136,ECU
Ecuador,2021-09-26,Oxford/AstraZeneca,2193329,496,ECU
Ecuador,2021-09-26,Pfizer/BioNTech,5911445,536,ECU
Ecuador,2021-09-26,Sinovac,12154634,425,ECU
France,2021-09-26,Johnson&Johnson,1070561,76,FRA
France,2021-09-26,Moderna,10334465,4124,FRA
France,2021-09-26,Oxford/AstraZeneca,7827743,75,FRA
France,2021-09-26,Pfizer/BioNTech,75789200,21349,FRA
Germany,2021-09-26,Johnson&Johnson,3256975,4083,DEU
Germany,2021-09-26,Moderna,9646301,3846,DEU
Germany,2021-09-26,Oxford/AstraZeneca,12764740,33,DEU
Germany,2021-09-26,Pfizer/BioNTech,83276989,45470,DEU
Hong Kong,2021-09-26,Pfizer/BioNTech,5466817,18633,HKG
Hong Kong,2021-09-26,Sinovac,3107567,5014,HKG
Italy,2021-09-26,Johnson&Johnson,1481219,723,ITA
Italy,2021-09-26,Moderna,10578736,18174,ITA
Italy,2021-09-26,Oxford/AstraZeneca,12155777,287,ITA
Italy,2021-09-26,Pfizer/BioNTech,59961898,108412,ITA
Japan,2021-09-26,Moderna,27032104,199412,JPN
Japan,2021-09-26,Oxford/AstraZeneca,53023,793,JPN
Japan,2021-09-26,Pfizer/BioNTech,138740621,978769,JPN
Latvia,2021-09-26,Johnson&Johnson,124497,681,LVA
Latvia,2021-09-26,Moderna,244729,127,LVA
Latvia,2021-09-26,Oxford/AstraZeneca,261102,17,LVA
Latvia,2021-09-26,Pfizer/BioNTech,977730,851,LVA
Peru,2021-09-26,Oxford/AstraZeneca,1100703,18632,PER
Peru,2021-09-26,Pfizer/BioNTech,15346527,52485,PER
Peru,2021-09-26,Sinopharm/Beijing,10436169,257724,PER
Romania,2021-09-26,Johnson&Johnson,736628,4879,ROU
Romania,2021-09-26,Moderna,734417,181,ROU
Romania,2021-09-26,Oxford/AstraZeneca,847769,35,ROU
Romania,2021-09-26,Pfizer/BioNTech,7731060,5918,ROU
South Korea,2021-09-26,Johnson&Johnson,1443521,751,KOR
South Korea,2021-09-26,Moderna,6398444,15114,KOR
South Korea,2021-09-26,Oxford/AstraZeneca,19789794,159,KOR
South Korea,2021-09-26,Pfizer/BioNTech,32498709,34284,KOR
Switzerland,2021-09-26,Moderna,6809980,1326,CHE
Switzerland,2021-09-26,Pfizer/BioNTech,3544660,1905,CHE
Ukraine,2021-09-26,Johnson&Johnson,20680,0,UKR
Ukraine,2021-09-26,Moderna,2133932,0,UKR
Ukraine,2021-09-26,Oxford/AstraZeneca,2134561,6094,UKR
Ukraine,2021-09-26,Pfizer/BioNTech,4558226,21914,UKR
Ukraine,2021-09-26,Sinovac,3392964,9145,UKR
United States,2021-09-26,Johnson&Johnson,14942698,17122,USA
United States,2021-09-26,Moderna,151000534,167974,USA
United States,2021-09-26,Pfizer/BioNTech,223782867,554475,USA
Uruguay,2021-09-26,Oxford/AstraZeneca,90910,3,URY
Uruguay,2021-09-26,Pfizer/BioNTech,1933733,75,URY
Uruguay,2021-09-26,Sinovac,3247447,3,URY
Argentina,2021-09-27,CanSino,52824,5627,ARG
Argentina,2021-09-27,Moderna,2968489,23368,ARG
Argentina,2021-09-27,Oxford/AstraZeneca,17374491,104475,ARG
Argentina,2021-09-27,Pfizer/BioNTech,144063,7370,ARG
Argentina,2021-09-27,Sinopharm/Beijing,16375440,103714,ARG
Argentina,2021-09-27,Sputnik V,15281026,38082,ARG
Chile,2021-09-27,Oxford/AstraZeneca,506376,1431,CHL
Chile,2021-09-27,Pfizer/BioNTech,7298195,2942,CHL
Chile,2021-09-27,Sinovac,20303573,111919,CHL
Czechia,2021-09-27,Johnson&Johnson,234899,1061,CZE
Czechia,2021-09-27,Moderna,923787,742,CZE
Czechia,2021-09-27,Oxford/AstraZeneca,886337,47,CZE
Czechia,2021-09-27,Pfizer/BioNTech,9785908,8274,CZE
Czechia,2021-09-27,Sinopharm/Beijing,30,1,CZE
Czechia,2021-09-27,Sinovac,134,2,CZE
Ecuador,2021-09-27,CanSino,361583,3242,ECU
Ecuador,2021-09-27,Oxford/AstraZeneca,2201472,8143,ECU
Ecuador,2021-09-27,Pfizer/BioNTech,5943084,31639,ECU
Ecuador,2021-09-27,Sinovac,12159915,5281,ECU
France,2021-09-27,Johnson&Johnson,1070834,273,FRA
France,2021-09-27,Moderna,10361493,27028,FRA
France,2021-09-27,Oxford/AstraZeneca,7828084,341,FRA
France,2021-09-27,Pfizer/BioNTech,75919768,130568,FRA
Germany,2021-09-27,Johnson&Johnson,3265208,8233,DEU
Germany,2021-09-27,Moderna,9652438,6137,DEU
Germany,2021-09-27,Oxford/AstraZeneca,12765081,341,DEU
Germany,2021-09-27,Pfizer/BioNTech,83411010,134021,DEU
Hong Kong,2021-09-27,Pfizer/BioNTech,5482362,15545,HKG
Hong Kong,2021-09-27,Sinovac,3118769,11202,HKG
Italy,2021-09-27,Johnson&Johnson,1482318,1099,ITA
Italy,2021-09-27,Moderna,10615614,36878,ITA
Italy,2021-09-27,Oxford/AstraZeneca,12156363,586,ITA
Italy,2021-09-27,Pfizer/BioNTech,60145685,183787,ITA
Japan,2021-09-27,Moderna,27214024,181920,JPN
Japan,2021-09-27,Oxford/AstraZeneca,53491,468,JPN
Japan,2021-09-27,Pfizer/BioNTech,139552967,812346,JPN
Latvia,2021-09-27,Johnson&Johnson,126637,2140,LVA
Latvia,2021-09-27,Moderna,245124,395,LVA
Latvia,2021-09-27,Oxford/AstraZeneca,261115,13,LVA
Latvia,2021-09-27,Pfizer/BioNTech,981690,3960,LVA
Peru,2021-09-27,Oxford/AstraZeneca,1120750,20047,PER
Peru,2021-09-27,Pfizer/BioNTech,15399319,52792,PER
Peru,2021-09-27,Sinopharm/Beijing,10570455,134286,PER
Romania,2021-09-27,Johnson&Johnson,745637,9009,ROU
Romania,2021-09-27,Moderna,734676,259,ROU
Romania,2021-09-27,Oxford/AstraZeneca,847844,75,ROU
Romania,2021-09-27,Pfizer/BioNTech,7739703,8643,ROU
South Korea,2021-09-27,Johnson&Johnson,1447384,3863,KOR
South Korea,2021-09-27,Moderna,6879313,480869,KOR
South Korea,2021-09-27,Oxford/AstraZeneca,19792039,2245,KOR
South Korea,2021-09-27,Pfizer/BioNTech,33138730,640021,KOR
Switzerland,2021-09-27,Moderna,6825921,15941,CHE
Switzerland,2021-09-27,Pfizer/BioNTech,3555352,10692,CHE
Ukraine,2021-09-27,Johnson&Johnson,20680,0,UKR
Ukraine,2021-09-27,Moderna,2133932,0,UKR
Ukraine,2021-09-27,Oxford/AstraZeneca,2158055,23494,UKR
Ukraine,2021-09-27,Pfizer/BioNTech,4618710,60484,UKR
Ukraine,2021-09-27,Sinovac,3428364,35400,UKR
United States,2021-09-27,Johnson&Johnson,14950507,7809,USA
United States,2021-09-27,Moderna,151102564,102030,USA
United States,2021-09-27,Pfizer/BioNTech,224223342,440475,USA
Uruguay,2021-09-27,Oxford/AstraZeneca,90917,7,URY
Uruguay,2021-09-27,Pfizer/BioNTech,1940277,6544,URY
Uruguay,2021-09-27,Sinovac,3247465,18,URY
Argentina,2021-09-28,CanSino,58137,5313,ARG
Argentina,2021-09-28,Moderna,2992377,23888,ARG
Argentina,2021-09-28,Oxford/AstraZeneca,17475383,100892,ARG
Argentina,2021-09-28,Pfizer/BioNTech,151290,7227,ARG
Argentina,2021-09-28,Sinopharm/Beijing,16477478,102038,ARG
Argentina,2021-09-28,Sputnik V,15342742,61716,ARG
Chile,2021-09-28,Oxford/AstraZeneca,508091,1715,CHL
Chile,2021-09-28,Pfizer/BioNTech,7301620,3425,CHL
Chile,2021-09-28,Sinovac,20439157,135584,CHL
Czechia,2021-09-28,Johnson&Johnson,235085,186,CZE
Czechia,2021-09-28,Moderna,923840,53,CZE
Czechia,2021-09-28,Oxford/AstraZeneca,886341,4,CZE
Czechia,2021-09-28,Pfizer/BioNTech,9786566,658,CZE
Czechia,2021-09-28,Sinovac,136,2,CZE
Ecuador,2021-09-28,CanSino,365204,3621,ECU
Ecuador,2021-09-28,Oxford/AstraZeneca,2211524,10052,ECU
Ecuador,2021-09-28,Pfizer/BioNTech,6007637,64553,ECU
Ecuador,2021-09-28,Sinovac,12188921,29006,ECU
France,2021-09-28,Johnson&Johnson,1071159,325,FRA
France,2021-09-28,Moderna,10404058,42565,FRA
France,2021-09-28,Oxford/AstraZeneca,7828388,304,FRA
France,2021-09-28,Pfizer/BioNTech,76043389,123621,FRA
Germany,2021-09-28,Johnson&Johnson,3275318,10110,DEU
Germany,2021-09-28,Moderna,9658127,5689,DEU
Germany,2021-09-28,Oxford/AstraZeneca,12765431,350,DEU
Germany,2021-09-28,Pfizer/BioNTech,83646554,235544,DEU
Hong Kong,2021-09-28,Pfizer/BioNTech,5494068,11706,HKG
Hong Kong,2021-09-28,Sinovac,3129006,10237,HKG
Italy,2021-09-28,Johnson&Johnson,1483220,902,ITA
Italy,2021-09-28,Moderna,10650305,34691,ITA
Italy,2021-09-28,Oxford/AstraZeneca,12156958,595,ITA
Italy,2021-09-28,Pfizer/BioNTech,60312087,166402,ITA
Japan,2021-09-28,Moderna,27391313,177289,JPN
Japan,2021-09-28,Oxford/AstraZeneca,53945,454,JPN
Japan,2021-09-28,Pfizer/BioNTech,140406141,853174,JPN
Latvia,2021-09-28,Johnson&Johnson,128700,2063,LVA
Latvia,2021-09-28,Moderna,245559,435,LVA
Latvia,2021-09-28,Oxford/AstraZeneca,261133,18,LVA
Latvia,2021-09-28,Pfizer/BioNTech,985764,4074,LVA
Peru,2021-09-28,Oxford/AstraZeneca,1134771,14021,PER
Peru,2021-09-28,Pfizer/BioNTech,15476843,77524,PER
Peru,2021-09-28,Sinopharm/Beijing,10718428,147973,PER
Romania,2021-09-28,Johnson&Johnson,757106,11469,ROU
Romania,2021-09-28,Moderna,735597,921,ROU
Romania,2021-09-28,Oxford/AstraZeneca,847950,106,ROU
Romania,2021-09-28,Pfizer/BioNTech,7770019,30316,ROU
South Korea,2021-09-28,Johnson&Johnson,1450805,3421,KOR
South Korea,2021-09-28,Moderna,7238133,358820,KOR
South Korea,2021-09-28,Oxford/AstraZeneca,19795481,3442,KOR
South Korea,2021-09-28,Pfizer/BioNTech,33719132,580402,KOR
Switzerland,2021-09-28,Moderna,6842310,16389,CHE
Switzerland,2021-09-28,Pfizer/BioNTech,3564840,9488,CHE
Ukraine,2021-09-28,Johnson&Johnson,20680,0,UKR
Ukraine,2021-09-28,Moderna,2133932,0,UKR
Ukraine,2021-09-28,Oxford/AstraZeneca,2182428,24373,UKR
Ukraine,2021-09-28,Pfizer/BioNTech,4687168,68458,UKR
Ukraine,2021-09-28,Sinovac,3467779,39415,UKR
United States,2021-09-28,Johnson&Johnson,14954307,3800,USA
United States,2021-09-28,Moderna,151150063,47499,USA
United States,2021-09-28,Pfizer/BioNTech,224659347,436005,USA
Uruguay,2021-09-28,Oxford/AstraZeneca,90922,5,URY
Uruguay,2021-09-28,Pfizer/BioNTech,1943137,2860,URY
Uruguay,2021-09-28,Sinovac,3247484,19,URY
Argentina,2021-09-29,CanSino,62054,3917,ARG
Argentina,2021-09-29,Moderna,3013981,21604,ARG
Argentina,2021-09-29,Oxford/AstraZeneca,17546582,71199,ARG
Argentina,2021-09-29,Pfizer/BioNTech,160978,9688,ARG
Argentina,2021-09-29,Sinopharm/Beijing,16561853,84375,ARG
Argentina,2021-09-29,Sputnik V,15407602,64860,ARG
Chile,2021-09-29,Oxford/AstraZeneca,509174,1083,CHL
Chile,2021-09-29,Pfizer/BioNTech,7305127,3507,CHL
Chile,2021-09-29,Sinovac,20569298,130141,CHL
Czechia,2021-09-29,Johnson&Johnson,236141,1056,CZE
Czechia,2021-09-29,Moderna,924879,1039,CZE
Czechia,2021-09-29,Oxford/AstraZeneca,886382,41,CZE
Czechia,2021-09-29,Pfizer/BioNTech,9795649,9083,CZE
Czechia,2021-09-29,Sinovac,137,1,CZE
Ecuador,2021-09-29,CanSino,369372,4168,ECU
Ecuador,2021-09-29,Oxford/AstraZeneca,2218407,6883,ECU
Ecuador,2021-09-29,Pfizer/BioNTech,6059526,51889,ECU
Ecuador,2021-09-29,Sinovac,12194045,5124,ECU
France,2021-09-29,Johnson&Johnson,1071554,395,FRA
France,2021-09-29,Moderna,10438431,34373,FRA
France,2021-09-29,Oxford/AstraZeneca,7828659,271,FRA
France,2021-09-29,Pfizer/BioNTech,76206993,163604,FRA
Germany,2021-09-29,Johnson&Johnson,3285374,10056,DEU
Germany,2021-09-29,Moderna,9663780,5653,DEU
Germany,2021-09-29,Oxford/AstraZeneca,12765947,516,DEU
Germany,2021-09-29,Pfizer/BioNTech,83898612,252058,DEU
Hong Kong,2021-09-29,Pfizer/BioNTech,5508045,13977,HKG
Hong Kong,2021-09-29,Sinovac,3138662,9656,HKG
Italy,2021-09-29,Johnson&Johnson,1483988,768,ITA
Italy,2021-09-29,Moderna,10685841,35536,ITA
Italy,2021-09-29,Oxford/AstraZeneca,12157599,641,ITA
Italy,2021-09-29,Pfizer/BioNTech,60472759,160672,ITA
Japan,2021-09-29,Moderna,27576963,185650,JPN
Japan,2021-09-29,Oxford/AstraZeneca,54539,594,JPN
Japan,2021-09-29,Pfizer/BioNTech,141218568,812427,JPN
Latvia,2021-09-29,Johnson&Johnson,131054,2354,LVA
Latvia,2021-09-29,Moderna,245954,395,LVA
Latvia,2021-09-29,Oxford/AstraZeneca,261134,1,LVA
Latvia,2021-09-29,Pfizer/BioNTech,991020,5256,LVA
Peru,2021-09-29,Oxford/AstraZeneca,1152456,17685,PER
Peru,2021-09-29,Pfizer/BioNTech,15578446,101603,PER
Peru,2021-09-29,Sinopharm/Beijing,10911946,193518,PER
Romania,2021-09-29,Johnson&Johnson,769373,12267,ROU
Romania,2021-09-29,Moderna,737435,1838,ROU
Romania,2021-09-29,Oxford/AstraZeneca,848019,69,ROU
Romania,2021-09-29,Pfizer/BioNTech,7816940,46921,ROU
South Korea,2021-09-29,Johnson&Johnson,1455160,4355,KOR
South Korea,2021-09-29,Moderna,7502550,264417,KOR
South Korea,2021-09-29,Oxford/AstraZeneca,19799640,4159,KOR
South Korea,2021-09-29,Pfizer/BioNTech,34201741,482609,KOR
Switzerland,2021-09-29,Moderna,6858051,15741,CHE
Switzerland,2021-09-29,Pfizer/BioNTech,3579829,14989,CHE
Ukraine,2021-09-29,Johnson&Johnson,20680,0,UKR
Ukraine,2021-09-29,Moderna,2133932,0,UKR
Ukraine,2021-09-29,Oxford/AstraZeneca,2203270,20842,UKR
Ukraine,2021-09-29,Pfizer/BioNTech,4756597,69429,UKR
Ukraine,2021-09-29,Sinovac,3503511,35732,UKR
United States,2021-09-29,Johnson&Johnson,14977044,22737,USA
United States,2021-09-29,Moderna,151310851,160788,USA
United States,2021-09-29,Pfizer/BioNTech,225313214,653867,USA
Uruguay,2021-09-29,Oxford/AstraZeneca,90926,4,URY
Uruguay,2021-09-29,Pfizer/BioNTech,1945225,2088,URY
Uruguay,2021-09-29,Sinovac,3247495,11,URY
Argentina,2021-09-30,CanSino,65299,3245,ARG
Argentina,2021-09-30,Moderna,3031749,17768,ARG
Argentina,2021-09-30,Oxford/AstraZeneca,17626772,80190,ARG
Argentina,2021-09-30,Pfizer/BioNTech,187456,26478,ARG
Argentina,2021-09-30,Sinopharm/Beijing,16642951,81098,ARG
Argentina,2021-09-30,Sputnik V,15535526,127924,ARG
Chile,2021-09-30,Oxford/AstraZeneca,510042,868,CHL
Chile,2021-09-30,Pfizer/BioNTech,7308292,3165,CHL
Chile,2021-09-30,Sinovac,20689120,119822,CHL
Czechia,2021-09-30,Johnson&Johnson,237285,1144,CZE
Czechia,2021-09-30,Moderna,926179,1300,CZE
Czechia,2021-09-30,Oxford/AstraZeneca,886420,38,CZE
Czechia,2021-09-30,Pfizer/BioNTech,9805443,9794,CZE
Ecuador,2021-09-30,CanSino,372242,2870,ECU
Ecuador,2021-09-30,Oxford/AstraZeneca,2224061,5654,ECU
Ecuador,2021-09-30,Pfizer/BioNTech,6101187,41661,ECU
Ecuador,2021-09-30,Sinovac,12199314,5269,ECU
France,2021-09-30,Johnson&Johnson,1071958,404,FRA
France,2021-09-30,Moderna,10483643,45212,FRA
France,2021-09-30,Oxford/AstraZeneca,7828908,249,FRA
France,2021-09-30,Pfizer/BioNTech,76327527,120534,FRA
Germany,2021-09-30,Johnson&Johnson,3295587,10213,DEU
Germany,2021-09-30,Moderna,9669378,5598,DEU
Germany,2021-09-30,Oxford/AstraZeneca,12766274,327,DEU
Germany,2021-09-30,Pfizer/BioNTech,84115528,216916,DEU
Hong Kong,2021-09-30,Pfizer/BioNTech,5528036,19991,HKG
Hong Kong,2021-09-30,Sinovac,3148964,10302,HKG
Italy,2021-09-30,Johnson&Johnson,1485412,1424,ITA
Italy,2021-09-30,Moderna,10725361,39520,ITA
Italy,2021-09-30,Oxford/AstraZeneca,12158394,795,ITA
Italy,2021-09-30,Pfizer/BioNTech,60635515,162756,ITA
Japan,2021-09-30,Moderna,27779050,202087,JPN
Japan,2021-09-30,Oxford/AstraZeneca,55291,752,JPN
Japan,2021-09-30,Pfizer/BioNTech,142006953,788385,JPN
Latvia,2021-09-30,Johnson&Johnson,134201,3147,LVA
Latvia,2021-09-30,Moderna,246445,491,LVA
Latvia,2021-09-30,Oxford/AstraZeneca,261146,12,LVA
Latvia,2021-09-30,Pfizer/BioNTech,995584,4564,LVA
Peru,2021-09-30,Oxford/AstraZeneca,1163491,11035,PER
Peru,2021-09-30,Pfizer/BioNTech,15683499,105053,PER
Peru,2021-09-30,Sinopharm/Beijing,11111926,199980,PER
Romania,2021-09-30,Johnson&Johnson,782314,12941,ROU
Romania,2021-09-30,Moderna,739503,2068,ROU
Romania,2021-09-30,Oxford/AstraZeneca,848105,86,ROU
Romania,2021-09-30,Pfizer/BioNTech,7863718,46778,ROU
South Korea,2021-09-30,Johnson&Johnson,1458766,3606,KOR
South Korea,2021-09-30,Moderna,7822152,319602,KOR
South Korea,2021-09-30,Oxford/AstraZeneca,19814427,14787,KOR
South Korea,2021-09-30,Pfizer/BioNTech,34748249,546508,KOR
Switzerland,2021-09-30,Moderna,6876663,18612,CHE
Switzerland,2021-09-30,Pfizer/BioNTech,3589258,9429,CHE
Ukraine,2021-09-30,Johnson&Johnson,20680,0,UKR
Ukraine,2021-09-30,Moderna,2133932,0,UKR
Ukraine,2021-09-30,Oxford/AstraZeneca,2224726,21456,UKR
Ukraine,2021-09-30,Pfizer/BioNTech,4828144,71547,UKR
Ukraine,2021-09-30,Sinovac,3540041,36530,UKR
United States,2021-09-30,Johnson&Johnson,15000326,23282,USA
United States,2021-09-30,Moderna,151481614,170763,USA
United States,2021-09-30,Pfizer/BioNTech,226033301,720087,USA
Uruguay,2021-09-30,Oxford/AstraZeneca,90933,7,URY
Uruguay,2021-09-30,Pfizer/BioNTech,1947822,2597,URY
Uruguay,2021-09-30,Sinovac,3247511,16,URY
Argentina,2021-10-01,CanSino,69076,3777,ARG
Argentina,2021-10-01,Moderna,3048955,17206,ARG
Argentina,2021-10-01,Oxford/AstraZeneca,17768692,141920,ARG
Argentina,2021-10-01,Pfizer/BioNTech,209462,22006,ARG
Argentina,2021-10-01,Sinopharm/Beijing,16690734,47783,ARG
Argentina,2021-10-01,Sputnik V,15607184,71658,ARG
Austria,2021-10-01,Johnson&Johnson,325131,7865,AUT
Austria,2021-10-01,Moderna,1052317,5194,AUT
Austria,2021-10-01,Oxford/AstraZeneca,1589498,711,AUT
Austria,2021-10-01,Pfizer/BioNTech,8168321,100377,AUT
Belgium,2021-10-01,Johnson&Johnson,392272,5231,BEL
Belgium,2021-10-01,Moderna,1359443,7737,BEL
Belgium,2021-10-01,Oxford/AstraZeneca,2846916,462,BEL
Belgium,2021-10-01,Pfizer/BioNTech,12317130,158332,BEL
Bulgaria,2021-10-01,Johnson&Johnson,195813,9915,BGR
Bulgaria,2021-10-01,Moderna,302454,3683,BGR
Bulgaria,2021-10-01,Oxford/AstraZeneca,478283,148,BGR
Bulgaria,2021-10-01,Pfizer/BioNTech,1574515,27990,BGR
Chile,2021-10-01,Oxford/AstraZeneca,510786,744,CHL
Chile,2021-10-01,Pfizer/BioNTech,7311158,2866,CHL
Chile,2021-10-01,Sinovac,20797840,108720,CHL
Croatia,2021-10-01,Johnson&Johnson,100670,6091,HRV
Croatia,2021-10-01,Moderna,332034,1954,HRV
Croatia,2021-10-01,Oxford/AstraZeneca,563990,647,HRV
Croatia,2021-10-01,Pfizer/BioNTech,2506469,28517,HRV
Cyprus,2021-10-01,Johnson&Johnson,20824,327,CYP
Cyprus,2021-10-01,Moderna,85988,638,CYP
Cyprus,2021-10-01,Oxford/AstraZeneca,254041,101,CYP
Cyprus,2021-10-01,Pfizer/BioNTech,767913,11540,CYP
Czechia,2021-10-01,Johnson&Johnson,238392,1107,CZE
Czechia,2021-10-01,Moderna,927109,930,CZE
